,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
383,4/2/10 20:45,Greenville,RI,USA,Formation,5 minutes,orange lights over Greenville RI started in formation then disappeared from sky very weird,4/13/10,
384,3/16/10 12:45,Westerly,RI,USA,Circle,10,"Object flying along side an airplane disappeared into the clouds, emerged 5 minutes later and flew southwest.",4/13/10,
385,1/26/10 11:00,South Kingstown,RI,USA,Other,5 minutes,This morning at 11am I again heard the now familiar jet-like sound of an approaching craft. I went outside to see a low flying jet of,2/14/10,
386,1/21/10 18:40,South Kingstown,RI,USA,Cylinder,7 minutes,Jet-like objects again over southern Rhode Island,2/14/10,
387,1/20/10 18:45,South Kingstown,RI,USA,Chevron,10 minutes,Jet-like craft with loud noise and strange lights in over southern RI,2/14/10,
388,10/11/09 19:00,North Smithfield,RI,USA,Circle,10 to 15 seconds,I was watching the sky like I always do on a clear night because you can always see what appear to be stars riding along the night sky.,12/12/09,
389,10/1/09 20:00,Providence,RI,USA,Disk,5 minutes,"saucer with red and blue lights over providence, RI",12/12/09,
390,10/1/09 08:00,Pawtucket,RI,USA,Cylinder,10 minutes,"Hovered over Pawtucket, RI and had red flashing lights at the bottom",12/12/09,
391,9/25/09 22:30,Wakefield,RI,USA,Light,seconds,two lights moved horizontally then zig zaged very fast and shot out of sight.,12/12/09,
392,9/19/09 20:23,North Kingstown,RI,USA,Light,3 min,There was a bright bell shaped light in the sky. ((NUFORC Note: Missile launch. PD)),12/12/09,
393,9/19/09 20:12,Cranston,RI,USA,Cone,3 min,cone shaped hazy light pointed downward from sky. ((NUFORC Note: Missile launch. PD)),12/12/09,
394,9/19/09 20:10,Wakefield,RI,USA,Triangle,1minute,Bight ball of light in the sky trailed by a more diffuse morphing cloud of light. ((NUFORC Note: Missile launch. PD)),12/12/09,
395,9/19/09 19:58,North Smithfield,RI,USA,Sphere,>1 minute,I was looking up at the stars and all of the sudden a giant circle was right in front of my eyes. ((NUFORC Note: Missile launch. PD)),12/12/09,
396,9/19/09 19:50,Providence,RI,USA,Unknown,20 seconds,I ran across information that seems to explain the beams. ((NUFORC Note: Missile launch. PD)),12/12/09,
397,8/23/09 03:00,Little Compton,RI,USA,Fireball,3 mins,Strange orbs/lights seen above and around Warren Point during Hurricane Bill,12/12/09,
398,8/8/09 21:00,Middletown,RI,USA,Fireball,0:05,~24 orange/red fireball shaped objects moving in pairs along common flight path before ascending and dissappering.,8/27/09,
399,8/1/09 20:15,Warwick,RI,USA,Sphere,15 sec,"oakland beach , green glowing illuminated object moving very fast east to west",8/27/09,
400,6/8/09 03:00,Providence,RI,USA,Teardrop,7 minutes,"UFO seen floating over providence, RI",6/9/09,
401,5/30/09 17:00,Smithfield,RI,USA,Chevron,10 min,Chevron shaped craft filmed in daylight.,6/9/09,
402,4/23/09 19:10,Cranston,RI,USA,Disk,1 minute,"Two Silver Objects diagonal from each other hovered, then jolted upwards, and vanished out of sight on a clear day.",5/12/09,
403,1/19/09 14:21,Providence,RI,USA,Formation,6 minutes 20 seconds,"Rhode Island, Providence, Nantucket, 19th January - formation flying craft of ther sky",3/19/09,
404,1/9/09 21:00,Johnston,RI,USA,Oval,5 mins,object did not move in normal manner,3/19/09,
405,12/5/08 07:30,Tiverton,RI,USA,Cylinder,5-6 seconds,Brilliantly lighted cylindrical object seen in northern sky moved at a high rate of speed and vanished.,3/19/09,
406,11/27/08 06:00,Warwick,RI,USA,Flash,1 second,Cloud like object streaks through sky at tremendous speed - for one second!,1/10/09,
407,10/31/08 19:00,Wakefield,RI,USA,Flash,1 second,"Bright, white flash",1/10/09,
408,10/8/08 18:45,Wakefield,RI,USA,Formation,3 min,2 sets of 5 or 6 red tumbling lights move steadily across southern sky.,1/10/09,
409,10/4/08 23:15,Providence,RI,USA,Oval,Approximately 1 minute,3 illuminated oval objects spotted flying closely together.,10/31/08,
410,10/1/08 19:00,Warwick,RI,USA,Orb,ten minutes,Myself and two of my friends were driving down the road to pick up my girlfriend when my friend in the passenger seat noticed two unide,1/5/11,
411,8/21/08 14:00,Newport,RI,USA,Disk,30sec,((HOAX)) flying saucer speeds by overhead while bystanders are appaled while the traind investigator me is not surprised.,10/31/08,
412,8/20/08 20:30,Newport,RI,USA,Cone,10mins,((HOAX??)) 4 cigar shaped craft hovering over newport,10/31/08,
413,7/15/08 23:30,Johnston,RI,USA,Triangle,20 sec,triangle over johnston with blue red and white lights,8/12/08,
414,7/12/08 00:38,Cranston,RI,USA,Light,approx. 12 minutes,See's light over Cranston,8/12/08,
415,7/11/08 13:30,Riverside,RI,USA,Circle,3 minutes,"Round white object spotted traveling faster than a conventional aircraft, no smoke trail/tail",8/12/08,
416,5/24/08 05:10,Narragansett,RI,USA,Circle,4-5 minutes,I saw this object just above the moon and slightly to the left and it changed from whitish to light bluish and back to whitish.((Star?),6/12/08,
417,4/17/08 23:45,Cumberland,RI,USA,Disk,15 Minutes,Unknown Object Acting Strangely In The Sky With No Sound To It At All,6/12/08,
418,3/31/08 01:00,Newport,RI,USA,Triangle,present,occuring right now,3/31/08,
419,2/21/08 18:00,Providence,RI,USA,Other,10 seconds,Object shaped like a backslash (\) zoomed across downtown Providence sky.,3/4/08,
420,1/7/08 06:30,Cranston,RI,USA,Orb,4minutes,round golden glowing orb with spike shaped projections,1/21/08,
421,1/3/08 02:40,West Warwick,RI,USA,Unknown,20 min.,Sighted three white to bluish lights that came to a stationary halt -watched for 15 min. & fell asleep.,1/21/08,
422,12/6/07 19:55,West Warwick,RI,USA,Circle,60 seconds,Me and my father's girlfriend were walking back form the store when what we seen what we though was an airplane flying extrmely close t,3/4/08,
423,11/25/07 21:00,Wyoming,RI,USA,Light,4,"craft blending in with the stars, visits Rhode Island",10/31/08,
424,11/6/07 18:00,Providence,RI,USA,Light,one minute,Elongated yellowish bar of light which pulsated as it travelled,11/28/07,
425,9/15/07 19:35,Kingston,RI,USA,Fireball,2 minutes,Pinkish Red Fireball Flash Sighting. ((NUFORC Note: Student report. PD)),11/28/07,
426,9/14/07 05:35,Tiverton,RI,USA,Circle,15 Minutes +,"Huge, bright light in morning sky. ((NUFORC Note: Sighting of Venus. PD))",10/8/07,
427,9/13/07 21:00,Portsmouth,RI,USA,Triangle,30 minutes,A triangluar craft with blinking lights seemed to be surveying the backroads of Portsmouth and Middletown before it flew away.,10/8/07,
428,8/24/07 15:00,Charlestown,RI,USA,Disk,one Min.,UFO darting football field length jumps before skingshoting away,10/31/08,
429,8/19/07 23:30,Little Compton,RI,USA,Triangle,15:00,"the object resonded to my flashlight,and flashed colored lights back",10/8/07,
430,8/19/07 22:00,Cranston,RI,USA,Light,2 min,"There were 2 lights in the southern sky, one following the other, then a 3rd light shot from one of them and headed towards the ground.",10/8/07,
431,7/6/07 21:20,Lincoln,RI,USA,Light,60 seconds,Quickly Growing White Light in Rhode Island,8/7/07,
432,6/7/07 21:15,Narragansett,RI,USA,Chevron,10 minutes,"Large, silent, low, gliding craft over the RI shoreline",6/12/07,
433,5/5/07 13:00,South Kingstown,RI,USA,Other,5 minutes,Unmarked helicopter,8/7/07,
434,4/29/07 21:00,North Kingstown,RI,USA,Triangle,5 min,"I live on Annaquatucket rd in NK, RI I was sitting in my room and i heard dogs barking and crying outside my open window. I got up to s",6/12/07,
435,2/8/07 01:40,Lincoln,RI,USA,Light,35 min,"2 large amber lights, 1 blinking light. Hovering & moving rapidly and erratically.",2/24/07,
436,12/15/06 15:00,East Providence,RI,USA,Circle,3 or 4 mins,Round flying object travelling slowly with lights around the bottom,2/24/07,
437,10/25/06 23:50,Warwick,RI,USA,Triangle,10 seconds,3 arrow shaped objects brown in color flying in a triangular formation moving very quickly.,10/30/06,
438,10/21/06 00:00,North Kingstown,RI,USA,Circle,4 seconds,"Flew 50 feet in air, one after another, came back towards us, and then went back into the opposite direction.",2/1/07,
439,10/20/06 06:30,Providence,RI,USA,Egg,less then a minute,eggs shape bottom glowing craft,10/30/06,
440,10/1/06 18:30,West Greenwhich,RI,USA,Disk,8 hours,"Saw Disc about 40 ft from me, helicopters came and picked it up.",2/1/07,
441,9/7/06 01:30,Pawtucket,RI,USA,Sphere,15 seconds,round ball like very bright,10/30/06,
442,7/17/06 21:30,Newport,RI,USA,Light,7 minutes,A bright orange light. Moved awkwardly up and down as it traveled across the sky...Like a fireball at one point then suddenly moves,10/30/06,
443,7/16/06 22:00,Smithfield,RI,USA,Triangle,15 minutes,Red and Green blinking aircrafts flying fast and low,10/30/06,
444,6/16/06 22:00,Narragansett,RI,USA,Light,15 minutes,Bright stationary amber light then fading out,7/16/06,
445,2/28/06 19:45,Middletown,RI,USA,Light,10 sec,Possible correlation to South Kingston sighting of 28 Feb,5/15/06,
446,2/28/06 19:45,South Kingstown,RI,USA,Chevron,3 minutes,Huge chevron or triangular craft with two large white circular lights,3/11/06,
447,2/21/06 21:00,North Kingstown,RI,USA,Other,? at least 1 minute,North Kingstown RI odd sighting,3/11/06,
448,1/19/06 05:00,Wakefield,RI,USA,Light,5:45,They appeared as stars and then they moved.,2/14/06,
449,1/13/06 02:20,Providence,RI,USA,Teardrop,Early Morning,It was being chased by a plane!,2/14/06,
450,1/12/06 17:05,South Kingstown,RI,USA,Light,7 seconds,Bright light fades to nothingness,2/14/06,
451,12/18/05 16:00,Warwick,RI,USA,Triangle,5 to 6 minutes,we were in our car when we saw a 2 object with lights the lights were red,2/14/06,
452,12/14/05 23:00,Warwick,RI,USA,Other,~1 hour,Large bright white UFO releasing smaller red/orange UFOs,4/7/17,
453,11/10/05 19:15,Kingstown,RI,USA,Light,5 sec,"a large light overhead going north,5 times the size of a planes'light, disapearing behind clou",12/16/05,
454,11/5/05 23:00,Cranston,RI,USA,Unknown,10 minutes,we were inside our house and heard several loud jet like sounds that would stop and then start up agan (exactly like the noises posted,11/8/05,
455,11/1/05 23:00,Jamestown,RI,USA,Light,2-3 minutes,Lights in the november sky,11/8/05,
456,10/2/05 17:30,Providence,RI,USA,Changing,5 minutes,White tear drop shaped object that was visible to the naked eye that I noticed after an aircraft flew overhead.,10/11/05,
457,9/12/05 22:45,Cumberland,RI,USA,Unknown,2 minutes,"In line strobe lights over Cumberland, RI",10/11/05,
458,7/4/05 23:00,Warwick,RI,USA,Circle,3 hours,Circles near Quonsett point-seen @ oakland beach Warwick Rhode island,7/13/05,
459,6/30/05,Johnston,RI,USA,Triangle,10 MINUTES,"((HOAX??)) As my friend and I were driving home late one night, I was staring out at the window gazing at the stars when I noticed one.",5/12/10,
460,6/5/05 11:35,Lincoln,RI,USA,Other,:20,"The spheres never moved, only changed colors then faded away.",6/20/05,
461,4/24/05 19:45,Pawtucket,RI,USA,Changing,<1 sec,Unidentified falling object/light,5/11/05,
462,4/14/05 20:30,East Greenwich,RI,USA,Triangle,1-2mins,"Triangular ship, stationary, black body, white lights on the three corners and a blinking red/white strobe dead center.",4/16/05,
463,3/13/05 23:00,Cranston,RI,USA,Triangle,2Minutes,At 11pm Est I was driving my girlfriend home on Phoenix Avenue toward the free way exit to travel 95 North. In the sky at first loo,5/11/05,
464,2/1/05 20:30,Scituate,RI,USA,Light,long,"Has anyone else in RI, CT or MA seen this?",2/8/05,
465,1/8/05 00:15,Cumberland,RI,USA,Triangle,0:10,"Triangular craft hovered for awhile, then shot off northward",1/11/05,
466,1/2/05 20:00,Pawtucket,RI,USA,Circle,~5 min,"sphere hummed overhead while flashing red and blue - slowly departed to the east, into South Attleboro / route 95",1/11/05,
467,12/13/04 20:35,Exeter,RI,USA,Light,less than a second,unusual light in sky,12/14/04,
468,12/2/04 17:30,West Greenwich,RI,USA,Triangle,1min30sec,My co-worker told me I should report this on this site. This is the first time I have seen this. Myself and my fiend just fininshed a d,12/3/04,
469,11/16/04 21:00,Newport,RI,USA,Triangle,4 min,11-16-04 On this night both the anniversary of my fathers death and the birth of my grandfather I had an intense UFO experience. While,10/30/06,
470,9/7/04 04:45,Providence/Warwick,RI,USA,Formation,18+minutes,Colorful lights seen over Providence/Warwick-did you see this? ((NUFORC Note: We suspect Venus. PD)),9/9/04,
471,9/1/04 20:34,Providence,RI,USA,Egg,2 Minutes,Two Oval/Egg shaped objects over Providence sky,9/9/04,
472,8/31/04 21:00,North Kingstown,RI,USA,Orb,5 minutes,blurry bar of light in western sky ((NUFORC Note: Missile launch from Cape Canaveral. PD)),9/9/04,
473,8/26/04 22:13,Westerly,RI,USA,Triangle,1 minute,black triangle over chopper and house in RI,9/1/04,
474,8/16/04 21:28,Scituate,RI,USA,Light,5 minutes,"Light, moving up down and left to right ((Possibly Jupiter??))",8/24/04,
475,8/15/04 03:30,Cranston,RI,USA,Formation,20+ minutes,Saw a formation of crescent-shapped objects over suburban neighborhood.,3/31/08,
476,8/8/04 23:00,Johnston,RI,USA,Disk,2 minutes,ufo over rhodeisland the real deal .,2/14/06,
477,8/6/04 03:45,Matunuck,RI,USA,Light,30 minutes,"12-15 golden-white lights equally spaced, unmoving, about a mile from the shore out in the ocean",8/15/14,
478,7/15/04 13:30,North Kingstown,RI,USA,Other,1 minute,"object came down from clouds and moved around general area of my back yard, then went off in same manner it came in.",7/16/06,
479,7/3/04 12:30,South Kingstown,RI,USA,Cigar,2 seconds,Cigar shaped object flashes twice,7/25/04,
480,6/11/04 01:50,Pawtucket,RI,USA,Other,10 min,The aircraft was hovering in the sky and then another one came and got next to it and they jsut dissapeared,6/20/05,
481,3/15/04 19:44,Harrisville,RI,USA,Light,5 seconds,light shoots straight arcross sky in about 5 seconds,3/17/04,
482,3/15/04 19:30,West Warwick,RI,USA,Egg,appr 15 sec,IT WAS A CLEAR NIGHT AND A EGG SHAPED OBJECT WITH A LUMUNOUS GLOW BEHIND IT WENT HORIZONTALLY ACROSS THE SKY FROM WEST TO EAST,3/17/04,
483,2/16/04 12:30,Interstate-95,RI,USA,Light,2 min,Bright light in sky over CT,3/2/04,
484,1/20/04 14:30,Cranston,RI,USA,Unknown,1 hour,Loud noise like a jet engine that went off and on for an hour making strange sounds.,8/11/04,
485,1/18/04 12:30,Glocester,RI,USA,Teardrop,4-5 minutes,Small black object moving through woods.,1/22/04,
486,10/31/03 22:00,Wakefield,RI,USA,Triangle,2 minutes,Large triangular object flying fairly low over Route 1 in wakefield Rhode Island on Halloween. 4 large white lights.,11/8/03,
487,10/23/03 10:15,South Kingstown,RI,USA,Unknown,2 seconds,Loud explosion heard along southern Rhode Island coast.,10/31/03,
488,10/3/03 12:50,Coventry,RI,USA,Formation,1 minute,a triangle formation of crafts,10/7/03,
489,9/15/03 22:30,North Kingstown,RI,USA,Formation,5 secs,I watch for satelites and this night I saw what appeared to be 3 flying in an irregular triangle formation in the Northeast sky at abou,2/22/05,
490,8/21/03 21:29,Atlantic Ocean,RI,USA,Unknown,10 minutes,Ufo sighting 17 miles into the atlantic ocean,9/9/03,
491,8/17/03 00:00,Narragansett,RI,USA,Diamond,drive by,Diamond Shape object with a yellowish orange glow or aura around it.Pitch black,5/15/13,
492,7/19/03 22:10,Scituate,RI,USA,Oval,45-60 seconds,"while at Seagrave (Amateur Astronomy) Observatory on Peeptoad Road, Scituate,Rhode Island,noticed on the western horizon a turquoise br",7/23/03,
493,7/15/03 00:30,"West Greenwich, East Greenwich, West Warwick, Warwick",RI,USA,Disk,About 12-15 Minutes,Craft follows our car up the highway for at least 10 minutes then takes off when we change direction and speed abruptly.,4/27/04,
494,7/1/03 22:00,coventry,RI,USA,Changing,3 minutes,energy wings that took up the whole sky breaking into three small white lights and jetting off- no sound what so ever,10/30/06,
495,6/22/03 05:00,Johnston,RI,USA,Disk,5-7 seconds,I was 13 years old. I was walking up the street to my friends house and I felt leaves blowing up. ((anonymous report)),1/11/19,
496,3/16/03 21:00,Portsmouth,RI,USA,Fireball,five minutes,Vary large glowing object with a red blinking light beneath the bright round yellow/orange glowing light,3/21/03,
497,12/24/02 16:00,Providence,RI,USA,Sphere,2 minutes,A cold winter evening. I was walking the dog through the woods when all of the sudden I saw 3 sphere like shapes floating about 10 yds,12/16/05,
498,11/28/02 05:00,Cumberland,RI,USA,Disk,35 minutes,Disk Shaped Revolving Lights in the Sky,12/23/02,
499,6/25/02 22:00,Westerly,RI,USA,Light,five minutes,traveling at fast speeds as high as the stars on a clear night then gone out of sight,7/26/02,
500,4/10/02 09:00,Coventry,RI,USA,Formation,00:37,It was scary!,4/25/02,
501,3/17/02 20:30,Richmond,RI,USA,Light,1 minute,A light followed me home and then dissapeared!,4/8/02,
502,2/9/02 13:30,Barrington,RI,USA,Fireball,5 sec,My wife and I were on the East Bay Bike Path near Barrrington RI where we had just stopped riding for a moment. I was looking down and,2/22/02,
503,11/11/01 23:40,Cumberland,RI,USA,Triangle,ongoing,On the evening of Nov 11th I was in my backyard with my dog and noticed how beautiful and clear the sky was. When I looked to my left,11/20/01,
504,9/6/01 22:45,Lincoln,RI,USA,Disk,2-3 minutes,The whole bottom was a bright white light and around the perimeter was a single strip of colored blinking lights.,10/12/01,
505,8/15/01 02:30,Bristol,RI,USA,Unknown,1 min,Dark shape with burnt orange glow near Bristol RI,3/11/03,
506,7/30/01 22:00,Jamestown,RI,USA,Light,5 minutes,"Object resembling airplane light blinked in random patterns, moved strangely, then very quickly for a sec., turned red and dissappeared",8/5/01,
507,7/29/01 21:00,Interstate 95,RI,USA,Triangle,5 minutes,Still triangle with 3 points of light,8/5/01,
508,7/15/01 04:30,Smithfield,RI,USA,Light,5 minutes,"First noticed what appeared to be a very brilliant star in the western sky, reddish colored, like the planet Mars might appear. After",8/5/01,
509,7/4/01 21:10,Narragansett,RI,USA,Rectangle,30 seconds,"AT dusk, while watching fireworks displays in the area, we were setting off a few fireworks on a cliff by the ocean shore. We observed",8/5/01,
510,3/20/01 19:30,Portsmouth,RI,USA,Chevron,30 seconds,Chevron shaped object seen in Rhode Island sky on night of Vernal Equinox.,4/1/01,
511,1/28/01 09:30,East Providence,RI,USA,Other,3 to 4 mins,"2 VERY BRIGHTLY lit craft were observed flying in clear, sunny skies, and one became stationary; both were at high altitude.",2/18/01,
512,1/17/01 23:22,West Warwick,RI,USA,Circle,4 min.,"Large, circular object with a ring of flashing red and white lights zigzag in night sky.",2/18/01,
513,10/8/00 16:00,West Warwick,RI,USA,Formation,15 Min,12 White Circles stationary in different formations for 10 to 15 min.,12/2/00,
514,9/1/00 22:35,South County,RI,USA,Other,,Black helicopter sightings over Southern Rhode Island.,12/2/00,
515,8/25/00 21:05,Hopkinton,RI,USA,Light,2min,Unexplained light,9/17/00,
516,7/14/00 02:30,Pasquag,RI,USA,Circle,2:40,it was 40 yards in diameter round had to bright white lights in the front and back to flashing lights on each side that randomly chang,7/23/00,
517,6/25/00 02:25,Cranston,RI,USA,Unknown,few minutes,((HOAX?? STUDENT REPORT)) Cranston ri UFO sighting in sports field at Cranston West High School.,3/23/11,
518,6/22/00 21:30,"Providence (On the coastline, SSW of)",RI,USA,Egg,five seconds,An egg shaped object passed in close proximity of my aircraft.,8/19/00,
519,3/31/00 05:05,Charlestown,RI,USA,Disk,10 minutes,Glowing orange shaped like an end view of airplane wing.,4/15/00,
520,3/23/00 19:30,Providence,RI,USA,Rectangle,20 TO 25 SEC,"On March 23, 2000 I was looking at the Big Dipper when one of the stars near the Big Dipper blinked then i saw dull orange lights comin",4/1/00,
521,2/28/00 21:30,Charlestown,RI,USA,Light,30 min.,"Light over submarine base, Groton, CT.",3/7/00,
522,8/16/99 08:30,Woonsocket,RI,USA,,,"Sighting Happened: Made front page headlines of the Woonsocket Call in Woonsocket Rhode Island. August 26, 1999 edition Article in news",8/30/99,
523,7/6/99 00:00,Cranston,RI,USA,Egg,10 seconds,A silvery egg-shaped craft is seen over a highway.,4/8/02,
524,5/6/99 04:30,Cranston,RI,USA,Egg,3 seconds,It flew over the highway,4/8/02,
525,2/20/99 23:40,Hope Valley,RI,USA,Triangle,10 minutes,Another sighting of the triangular craft with logo.,4/2/99,
526,2/15/99 19:00,Hopkington,RI,USA,Triangle,15 minutes,"At 1900 hours on the evening of 02Feb.1999, I spotted a triangular craft moving slowly and silently at about 100 feet. This was in the",4/2/99,
527,11/15/98 21:00,Cranston,RI,USA,Light,5 Seconds,i was in a car with my mother driving down phenix ave. i saw a bright orangish light in the sky i looked up and it was moving slowwly b,12/2/00,
528,10/15/98 18:00,Warwick,RI,USA,Other,5min,Bright flat object moved upwards and disapeared behind cloads.,11/1/98,
529,9/26/98 00:00,Warwick,RI,USA,Circle,3 hrs,"Heard on AM 630 WPRO art bell,ufos were spotted.Went out w/ portable radio saw a big bright light an what appeared to be a comet.",11/1/98,
530,9/22/98 16:18,Portsmouth,RI,USA,Egg,2 sec,Amber/gold rising from tree level 45 deg up. Fast and accelerating. Dissaperaed behind tree branch. Very bright.,9/26/98,
531,7/15/98 15:00,Bristol,RI,USA,Egg,4 min.,there was no heat allmost like it was floating but was all medal blow my mind.,8/30/10,
532,6/8/98 21:00,Newport,RI,USA,Light,25 minutes,"Clear night+high visability,2 yellow lights,even shading,no vertical movement,close proximatey,very long visual time",2/18/01,
533,4/1/98 13:00,Providence,RI,USA,Circle,4 Minutes,Mostly sunny sky very large stayed about 5 minutes,4/14/09,
534,1/29/98 14:00,Coventry,RI,USA,Disk,4-5 minutes,Shiny metal ship with row of blinking red lights. Classic saucer shape w/ dome.,1/28/99,
535,12/1/97 00:00,Warwick,RI,USA,Circle,1 hour,I was watching Deep Space Nine which airs at 12pm when a unusual bright object caught my eye I quickly got up and looked out my front w,6/2/98,
536,11/21/97 17:00,North Kingstown,RI,USA,Triangle,10sec or less,While driving at dusk my daughter and I noticed an airplaine flying up in the sky w/ it's lights on heading in an easternly dirtection,1/28/99,
537,1/29/97 23:15,East Greenwich,RI,USA,Disk,5 minutes,"I witnessed a UFO which may be of the Lazar""Sport Model"" variety when I was leaving work to drive home. The UFO was circular in shap",3/7/98,
538,1/23/97 18:30,North Kingstown,RI,USA,Triangle,3 minutes,"1/23/97: Huge black triangle w/ rearguard heli, sighted over deserted Rte.1A in RI, drifts overhead & out to Sea.",1/27/05,
539,1/1/97 15:30,Johnston,RI,USA,Rectangle,1 min,Cube haystack shape seen a between 1997-1998 (not sure of exact date)........,8/11/04,
540,8/19/96 10:30,Johnston,RI,USA,Triangle,5 minutes,"Felt vibration in my stomach, looked out back window , saw a black 3 pointed craft, then a flash, and it was 11:45 in the evening... th",3/4/22,
541,6/29/96 22:00,East Providence,RI,USA,Light,45 min,Very bright white obj. changes shape from circle to oval. 1/3 apparent diam of moon at closest approach. Blinking lights at top.,11/2/99,
542,6/29/96 21:00,East Providence,RI,USA,light,1 hour and longer,A large white pulsating light,1/28/99,
543,6/1/96 23:00,North Providence,RI,USA,Sphere,16 seconds,((HOAX?? Obscene)) A life situation loke no other.,4/18/14,
544,6/1/96 21:00,South Kingstown,RI,USA,Disk,10 mins,Very very large disc 50 feet off the ground,12/12/11,
545,10/2/95 10:15,N. Providence,RI,USA,,3 min.,"Man witnesses ""small white dot, that came out of clouds."" Was slow-moving, white, w/ ""red on tail.""",11/2/99,
546,9/30/95 13:30,N. Providence,RI,USA,,,"Man reports seeing cluster of 3 objects ""like white balloons"" pacing airliner in N sky. Objs. disappear, return. Change color,shape.",11/2/99,
547,9/18/95 18:40,N. Kingston,RI,USA,,90 min.,"Young man from Univ. of RI calls to report seeing small dot in sky that ""does loop-dee-loops, blinks."" Had little tail behind it.",11/2/99,
548,6/18/93 20:45,Block Island,RI,USA,Other,1/2 hour,"Time loss and multiple objects seen on Island of coast of Rhode Island, USA.",2/18/01,
549,10/10/92 20:00,"Block Island, Town of New Shoreham",RI,USA,Light,2 minutes,"Silent bright light, not too high, moved away and disappeared.",6/22/22,
550,10/29/90 20:45,Burlingame State Park,RI,USA,Other,5-10 seconds,"Small airborne, manta-shaped object observed from a closest distance of ~15 feet for around 6 seconds by two reliable observers.",5/2/03,
551,8/20/89 14:00,North Kingstown,RI,USA,Light,2 1/2 hours,"Bright light, sunny afternoon sky, Aug. '89. Stationary for 2 hrs. plus, highly visible, eerie.",1/27/05,
552,12/24/87 20:00,Exeter,RI,USA,Rectangle,1 minute,"UFO seen Christmas Eve 1987. Made sudden ""L"" shape turn unlike any known aircraft.",2/4/13,
553,7/1/83 18:00,Warwick,RI,USA,Disk,15 minutes,"Large matalic disk shaped object hovoring over field, 30' from street, 20-25 feet off ground.",9/30/13,
554,10/15/82 22:00,Narragansette,RI,USA,Chevron,15 seconds,boomerang shaped object with 5 greenish lights growing in size and then turned and disappeared,3/19/09,
555,10/15/82 19:30,Smithfield,RI,USA,Circle,1 min,"lights were flashing and I thought to myself ""there are no towers here"".",11/3/05,
556,6/6/82 01:00,Warwick,RI,USA,Disk,2 minutes,Two orange/gold saucer shaped craft,12/7/06,
557,6/11/81 18:00,Providence,RI,USA,Diamond,30 min.,A sighting at a distance of 30 feet,10/27/04,
558,5/15/79 01:00,Wordens Pond Road,RI,USA,Disk,15 min,"A bright light appeared over the trees while driving home and changed colors soon after that,.",2/22/02,
559,4/12/79 22:00,East Providence,RI,USA,Chevron,60-70 seconds,V shaped (Chevron shaped ) Craft appeared to just clear the top of the Water Tower,4/9/04,
560,10/17/78 15:00,Warren,RI,USA,Unknown,1-2 minutes,Light over T F Green Airport.,8/6/20,
561,1/5/78,Warwick,RI,USA,Orb,5 mins,"Warwick, Rhode Island Jan/Feb 1978 Red Orb",9/17/00,
562,1/19/77 20:30,Coventry,RI,USA,Triangle,2 minutes,"Huge wing craft - 1000 feet in width hovered over house, no noise or lights",8/12/08,
563,1/18/77 17:45,Riverside,RI,USA,Oval,10 days,"UFO EXPERIENCE (PHENOMENA) TUESDAY JANUARY 18, 1977",2/21/14,
564,1/18/77 17:45,Fall River/North Tiverton,RI,USA,Oval,01/18/1977-01/25/1977,"ABOUT 150 FEET IN THE SKY WAS THIS MAGNIFICENT GLOWING WHITE OVAL SHAPED OBJECT BRIGHTER THAN A FLUORESCENT LIGHT, IT HOVERED.",8/7/11,
565,8/15/76 22:30,Weekapaug,RI,USA,Formation,5 seconds,Three globular lights in a tight triangular formation passed east to west at low altitude,8/5/01,
566,7/12/76 18:01,Warwick,RI,USA,Cigar,30 min,"I saw a fast moving, brightly lit, huge object, within 25 ft of me for half an hour.",3/19/09,
567,5/1/76 20:00,Coventry,RI,USA,Formation,3min,red orbs 'dancing' around a central orb,6/18/04,
568,10/15/75 17:00,Scituate,RI,USA,Circle,10 minutes,Object with orange lights moves straight up in sky to nothingness.,12/16/05,
569,10/13/75 16:30,Warwick,RI,USA,Disk,20 minutes,Silent enormous disc shaped craft.,6/13/14,
570,7/22/75 21:00,Cranston,RI,USA,Light,20 min,religious connection,3/4/08,
571,1/24/74 22:00,Pawtucket,RI,USA,Disk,1 hour,R.I. sphere shaped object landed on flat top three door garage. 1974 .the beams still show cracks that developed from the weight,3/4/03,
572,1/24/74,Pawtucket,RI,USA,Disk,1 hour,I reported the UFO sighting in Pawtucket R.I.of 1974 that you have on your website.,12/12/09,
573,8/17/71 22:15,Quonsett Pt. NAS,RI,USA,Other,1 minute,"""Being"" spotted on Naval Air Station 1971",7/16/06,
574,8/15/70 12:00,Newport,RI,USA,Rectangle,several minutes,Craft hovering about a half-mile over my head,12/12/09,
575,6/15/70 19:30,CT/RI border,RI,USA,Circle,,"Back in 1969 or maybe 70, can't really remember the date, my wife and I were on our way to Rhode Island from Connecticut. We left in th",4/16/05,
576,11/8/68 20:50,Exeter,RI,USA,Triangle,5 minutes,Flying isoclese triangle with three lights.,9/30/16,
577,6/30/67 19:00,Portmouth,RI,USA,Disk,5 mins,Luminous disc shaped tilted object with aura/haze around it,10/30/06,
578,9/28/66 20:00,Coventry,RI,USA,Circle,Approx.20 mins,It was night and we all saw a hugh silver highly shiny circle craft not more than 100 feet away from us it was an incredible thing to,3/2/04,
